,tv
2018-10-30,798531.3200000001
2018-10-31,801781.3200000001
2018-11-01,802281.3200000001
2018-11-02,821781.3200000001
2018-11-05,813406.3200000001
2018-11-06,803978.6700000002
2018-11-07,805798.6700000002
2018-11-08,799974.6700000002
2018-11-09,799246.6700000002
2018-11-12,817082.6700000002
2018-11-13,829822.6700000002
2018-11-14,824726.6700000002
2018-11-15,841834.6700000002
2018-11-16,840742.6700000002
2018-11-19,838922.6700000002
2018-11-20,835282.6700000002
2018-11-21,851298.6700000002
2018-11-22,860762.6700000002
2018-11-23,838558.6700000002
2018-11-26,833462.6700000002
2018-11-27,836010.6700000002
2018-11-28,845110.6700000002
2018-11-29,828002.6700000002
2018-11-30,832006.6700000002
2018-12-03,842926.6700000002
2018-12-04,815348.1000000002
2018-12-05,797884.1000000002
2018-12-06,776172.1000000002
2018-12-07,794580.1000000002
2018-12-10,
